Corrida2('N =', 750, '   tiempo transcurrido =', 0.01768860000083805, '[seg] ', '   uso memoria total=', 6750000, '[bytes] ', '   flops =', 23850106847.34871, '[flops/seg]')
Corrida2('N =', 1000, '   tiempo transcurrido =', 0.03374970000004396, '[seg] ', '   uso memoria total=', 12000000, '[bytes] ', '   flops =', 29629893006.417763, '[flops/seg]')
Corrida2('N =', 2000, '   tiempo transcurrido =', 0.17740279999998165, '[seg] ', '   uso memoria total=', 48000000, '[bytes] ', '   flops =', 45095116875.27383, '[flops/seg]')
Corrida2('N =', 5000, '   tiempo transcurrido =', 3.0968933000003744, '[seg] ', '   uso memoria total=', 300000000, '[bytes] ', '   flops =', 40363030912.296814, '[flops/seg]')

Corrida3('N =', 1, '   tiempo transcurrido =', 0.01269030000003113, '[seg] ', '   uso memoria total=', 12, '[bytes] ', '   flops =', 78.80034356930466, '[flops/seg]')
Corrida3('N =', 4, '   tiempo transcurrido =', 3.4800001230905764e-05, '[seg] ', '   uso memoria total=', 192, '[bytes] ', '   flops =', 1839080.3947202684, '[flops/seg]')
Corrida3('N =', 10, '   tiempo transcurrido =', 1.1699999959091656e-05, '[seg] ', '   uso memoria total=', 1200, '[bytes] ', '   flops =', 85470085.76892647, '[flops/seg]')
Corrida3('N =', 16, '   tiempo transcurrido =', 1.1199999789823778e-05, '[seg] ', '   uso memoria total=', 3072, '[bytes] ', '   flops =', 365714292.5771829, '[flops/seg]')
Corrida3('N =', 20, '   tiempo transcurrido =', 1.2799999240087345e-05, '[seg] ', '   uso memoria total=', 4800, '[bytes] ', '   flops =', 625000037.1051123, '[flops/seg]')
Corrida3('N =', 35, '   tiempo transcurrido =', 1.7500000467407517e-05, '[seg] ', '   uso memoria total=', 14700, '[bytes] ', '   flops =', 2449999934.562949, '[flops/seg]')
Corrida3('N =', 49, '   tiempo transcurrido =', 3.899999865097925e-05, '[seg] ', '   uso memoria total=', 28812, '[bytes] ', '   flops =', 3016641129.987474, '[flops/seg]')
Corrida3('N =', 50, '   tiempo transcurrido =', 2.6199999410891905e-05, '[seg] ', '   uso memoria total=', 30000, '[bytes] ', '   flops =', 4770992473.688179, '[flops/seg]')
Corrida3('N =', 75, '   tiempo transcurrido =', 5.3199999456410296e-05, '[seg] ', '   uso memoria total=', 67500, '[bytes] ', '   flops =', 7929981284.03489, '[flops/seg]')
Corrida3('N =', 100, '   tiempo transcurrido =', 9.379999937664252e-05, '[seg] ', '   uso memoria total=', 120000, '[bytes] ', '   flops =', 10660980881.08318, '[flops/seg]')
Corrida3('N =', 125, '   tiempo transcurrido =', 0.00011110000014014076, '[seg] ', '   uso memoria total=', 187500, '[bytes] ', '   flops =', 17579882966.123688, '[flops/seg]')
Corrida3('N =', 150, '   tiempo transcurrido =', 0.00019429999883868732, '[seg] ', '   uso memoria total=', 270000, '[bytes] ', '   flops =', 17370046423.942642, '[flops/seg]')
Corrida3('N =', 250, '   tiempo transcurrido =', 0.0006609000010939781, '[seg] ', '   uso memoria total=', 750000, '[bytes] ', '   flops =', 23642003289.65981, '[flops/seg]')
Corrida3('N =', 500, '   tiempo transcurrido =', 0.004986300000382471, '[seg] ', '   uso memoria total=', 3000000, '[bytes] ', '   flops =', 25068688203.760696, '[flops/seg]')
Corrida3('N =', 700, '   tiempo transcurrido =', 0.014428499998757616, '[seg] ', '   uso memoria total=', 5880000, '[bytes] ', '   flops =', 23772394914.893055, '[flops/seg]')
Corrida3('N =', 750, '   tiempo transcurrido =', 0.013168100000257255, '[seg] ', '   uso memoria total=', 6750000, '[bytes] ', '   flops =', 32037651596.795147, '[flops/seg]')
Corrida3('N =', 1000, '   tiempo transcurrido =', 0.03310509999937494, '[seg] ', '   uso memoria total=', 12000000, '[bytes] ', '   flops =', 30206826139.14113, '[flops/seg]')
Corrida3('N =', 2000, '   tiempo transcurrido =', 0.20084110000061628, '[seg] ', '   uso memoria total=', 48000000, '[bytes] ', '   flops =', 39832484486.369835, '[flops/seg]')
Corrida3('N =', 5000, '   tiempo transcurrido =', 3.221394299998792, '[seg] ', '   uso memoria total=', 300000000, '[bytes] ', '   flops =', 38803073563.5333, '[flops/seg]')

Corrida4('N =', 1, '   tiempo transcurrido =', 0.011530399999173824, '[seg] ', '   uso memoria total=', 12, '[bytes] ', '   flops =', 86.7272601186127, '[flops/seg]')
Corrida4('N =', 4, '   tiempo transcurrido =', 3.6100000215810724e-05, '[seg] ', '   uso memoria total=', 192, '[bytes] ', '   flops =', 1772853.1749972098, '[flops/seg]')
Corrida4('N =', 10, '   tiempo transcurrido =', 8.800001523923129e-06, '[seg] ', '   uso memoria total=', 1200, '[bytes] ', '   flops =', 113636343.95760763, '[flops/seg]')
Corrida4('N =', 16, '   tiempo transcurrido =', 8.200000593205914e-06, '[seg] ', '   uso memoria total=', 3072, '[bytes] ', '   flops =', 499512158.9861504, '[flops/seg]')
Corrida4('N =', 20, '   tiempo transcurrido =', 1.3399998351815157e-05, '[seg] ', '   uso memoria total=', 4800, '[bytes] ', '   flops =', 597014998.8053039, '[flops/seg]')
Corrida4('N =', 35, '   tiempo transcurrido =', 1.550000160932541e-05, '[seg] ', '   uso memoria total=', 14700, '[bytes] ', '   flops =', 2766128745.0579824, '[flops/seg]')
Corrida4('N =', 49, '   tiempo transcurrido =', 3.6100000215810724e-05, '[seg] ', '   uso memoria total=', 28812, '[bytes] ', '   flops =', 3258975049.76948, '[flops/seg]')
Corrida4('N =', 50, '   tiempo transcurrido =', 2.069999936793465e-05, '[seg] ', '   uso memoria total=', 30000, '[bytes] ', '   flops =', 6038647527.382602, '[flops/seg]')
Corrida4('N =', 75, '   tiempo transcurrido =', 3.2699999792384915e-05, '[seg] ', '   uso memoria total=', 67500, '[bytes] ', '   flops =', 12901376228.700928, '[flops/seg]')
Corrida4('N =', 100, '   tiempo transcurrido =', 5.070000042906031e-05, '[seg] ', '   uso memoria total=', 120000, '[bytes] ', '   flops =', 19723865710.79432, '[flops/seg]')
Corrida4('N =', 125, '   tiempo transcurrido =', 9.730000056151766e-05, '[seg] ', '   uso memoria total=', 187500, '[bytes] ', '   flops =', 20073227016.73719, '[flops/seg]')
Corrida4('N =', 150, '   tiempo transcurrido =', 0.00016759999925852753, '[seg] ', '   uso memoria total=', 270000, '[bytes] ', '   flops =', 20137231592.668274, '[flops/seg]')
Corrida4('N =', 250, '   tiempo transcurrido =', 0.0006017999985488132, '[seg] ', '   uso memoria total=', 750000, '[bytes] ', '   flops =', 25963775403.25405, '[flops/seg]')
Corrida4('N =', 500, '   tiempo transcurrido =', 0.00420750000012049, '[seg] ', '   uso memoria total=', 3000000, '[bytes] ', '   flops =', 29708853237.414234, '[flops/seg]')
Corrida4('N =', 700, '   tiempo transcurrido =', 0.012899800000013784, '[seg] ', '   uso memoria total=', 5880000, '[bytes] ', '   flops =', 26589559528.026287, '[flops/seg]')
Corrida4('N =', 750, '   tiempo transcurrido =', 0.017244799999389215, '[seg] ', '   uso memoria total=', 6750000, '[bytes] ', '   flops =', 24463896363.828064, '[flops/seg]')
Corrida4('N =', 1000, '   tiempo transcurrido =', 0.031130400000620284, '[seg] ', '   uso memoria total=', 12000000, '[bytes] ', '   flops =', 32122940918.847, '[flops/seg]')
Corrida4('N =', 2000, '   tiempo transcurrido =', 0.16929650000020047, '[seg] ', '   uso memoria total=', 48000000, '[bytes] ', '   flops =', 47254373244.517914, '[flops/seg]')
Corrida4('N =', 5000, '   tiempo transcurrido =', 2.5328472000001057, '[seg] ', '   uso memoria total=', 300000000, '[bytes] ', '   flops =', 49351575570.76273, '[flops/seg]')

Corrida5('N =', 1, '   tiempo transcurrido =', 0.01450010000007751, '[seg] ', '   uso memoria total=', 12, '[bytes] ', '   flops =', 68.96504162003397, '[flops/seg]')
Corrida5('N =', 4, '   tiempo transcurrido =', 3.66000003850786e-05, '[seg] ', '   uso memoria total=', 192, '[bytes] ', '   flops =', 1748633.8613835662, '[flops/seg]')
Corrida5('N =', 10, '   tiempo transcurrido =', 8.499999239575118e-06, '[seg] ', '   uso memoria total=', 1200, '[bytes] ', '   flops =', 117647069.34844221, '[flops/seg]')
Corrida5('N =', 16, '   tiempo transcurrido =', 7.99999907030724e-06, '[seg] ', '   uso memoria total=', 3072, '[bytes] ', '   flops =', 512000059.50034356, '[flops/seg]')
Corrida5('N =', 20, '   tiempo transcurrido =', 2.1500000002561137e-05, '[seg] ', '   uso memoria total=', 4800, '[bytes] ', '   flops =', 372093023.21148926, '[flops/seg]')
Corrida5('N =', 35, '   tiempo transcurrido =', 1.6599999071331695e-05, '[seg] ', '   uso memoria total=', 14700, '[bytes] ', '   flops =', 2582831469.7948027, '[flops/seg]')
Corrida5('N =', 49, '   tiempo transcurrido =', 3.9999998989515007e-05, '[seg] ', '   uso memoria total=', 28812, '[bytes] ', '   flops =', 2941225074.301595, '[flops/seg]')
Corrida5('N =', 50, '   tiempo transcurrido =', 2.1300000298651867e-05, '[seg] ', '   uso memoria total=', 30000, '[bytes] ', '   flops =', 5868544518.654846, '[flops/seg]')
Corrida5('N =', 75, '   tiempo transcurrido =', 3.66000003850786e-05, '[seg] ', '   uso memoria total=', 67500, '[bytes] ', '   flops =', 11526639222.987373, '[flops/seg]')
Corrida5('N =', 100, '   tiempo transcurrido =', 4.9500000386615284e-05, '[seg] ', '   uso memoria total=', 120000, '[bytes] ', '   flops =', 20202020044.234146, '[flops/seg]')
Corrida5('N =', 125, '   tiempo transcurrido =', 9.440000030735973e-05, '[seg] ', '   uso memoria total=', 187500, '[bytes] ', '   flops =', 20689883407.21147, '[flops/seg]')
