Corrida 1
('N =', 1, '   tiempo transcurrido =', 0.00029569999969680794, '[seg] ', '   uso memoria total=', 6, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.0001779000012902543, '[seg] ', '   uso memoria total=', 150, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 0.00010699999984353781, '[seg] ', '   uso memoria total=', 600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00017360000128974207, '[seg] ', '   uso memoria total=', 2400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00042670000038924627, '[seg] ', '   uso memoria total=', 15000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0006905000009282958, '[seg] ', '   uso memoria total=', 60000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0021314000005077105, '[seg] ', '   uso memoria total=', 240000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.012179400000604801, '[seg] ', '   uso memoria total=', 1500000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.032281700001476565, '[seg] ', '   uso memoria total=', 2940000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.0729680999975244, '[seg] ', '   uso memoria total=', 6000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.4281604000025254, '[seg] ', '   uso memoria total=', 24000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 4.283933499998966, '[seg] ', '   uso memoria total=', 150000000, '[bytes] ')
Corrida 2
('N =', 1, '   tiempo transcurrido =', 0.017822999998315936, '[seg] ', '   uso memoria total=', 6, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.0001706000002741348, '[seg] ', '   uso memoria total=', 150, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 8.270000034826808e-05, '[seg] ', '   uso memoria total=', 600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00022249999892665073, '[seg] ', '   uso memoria total=', 2400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.000325400000292575, '[seg] ', '   uso memoria total=', 15000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0007009999972069636, '[seg] ', '   uso memoria total=', 60000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0016095999999379274, '[seg] ', '   uso memoria total=', 240000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.012710700000752695, '[seg] ', '   uso memoria total=', 1500000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.025357899998198263, '[seg] ', '   uso memoria total=', 2940000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.061927799997647526, '[seg] ', '   uso memoria total=', 6000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.4052856000016618, '[seg] ', '   uso memoria total=', 24000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 4.186558299999888, '[seg] ', '   uso memoria total=', 150000000, '[bytes] ')
Corrida 3
('N =', 1, '   tiempo transcurrido =', 0.01708420000068145, '[seg] ', '   uso memoria total=', 6, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00017070000103558414, '[seg] ', '   uso memoria total=', 150, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 7.840000034775585e-05, '[seg] ', '   uso memoria total=', 600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00014309999824035913, '[seg] ', '   uso memoria total=', 2400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.0004332000025897287, '[seg] ', '   uso memoria total=', 15000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0006321000000752974, '[seg] ', '   uso memoria total=', 60000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.001936199998453958, '[seg] ', '   uso memoria total=', 240000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.010539400002016919, '[seg] ', '   uso memoria total=', 1500000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.029344200000195997, '[seg] ', '   uso memoria total=', 2940000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.06327439999950002, '[seg] ', '   uso memoria total=', 6000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.41394639999998617, '[seg] ', '   uso memoria total=', 24000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 4.7751917999994475, '[seg] ', '   uso memoria total=', 150000000, '[bytes] ')
Corrida 4
('N =', 1, '   tiempo transcurrido =', 0.019623100000899285, '[seg] ', '   uso memoria total=', 6, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00017859999934444204, '[seg] ', '   uso memoria total=', 150, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 8.939999679569155e-05, '[seg] ', '   uso memoria total=', 600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00015699999858043157, '[seg] ', '   uso memoria total=', 2400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00034050000249408185, '[seg] ', '   uso memoria total=', 15000, '[bytes] ')
