Corrida 1
('N =', 1, '   tiempo transcurrido =', 0.0001362999973935075, '[seg] ', '   uso memoria total=', 16, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 7.310000000870787e-05, '[seg] ', '   uso memoria total=', 400, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 4.7100002120714635e-05, '[seg] ', '   uso memoria total=', 1600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.0001480999999330379, '[seg] ', '   uso memoria total=', 6400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.0003366999990248587, '[seg] ', '   uso memoria total=', 40000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0008358999984920956, '[seg] ', '   uso memoria total=', 160000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.002289399999426678, '[seg] ', '   uso memoria total=', 640000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.02423850000195671, '[seg] ', '   uso memoria total=', 4000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.04786650000096415, '[seg] ', '   uso memoria total=', 7840000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.1519750000006752, '[seg] ', '   uso memoria total=', 16000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.934388099998614, '[seg] ', '   uso memoria total=', 64000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 9.701706100000592, '[seg] ', '   uso memoria total=', 400000000, '[bytes] ')
Corrida 2
('N =', 1, '   tiempo transcurrido =', 0.04167859999870416, '[seg] ', '   uso memoria total=', 16, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00012109999806853011, '[seg] ', '   uso memoria total=', 400, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 4.3700001697288826e-05, '[seg] ', '   uso memoria total=', 1600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00012000000060652383, '[seg] ', '   uso memoria total=', 6400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00030189999961294234, '[seg] ', '   uso memoria total=', 40000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0007631000007677358, '[seg] ', '   uso memoria total=', 160000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0027196000010007992, '[seg] ', '   uso memoria total=', 640000, '[bytes] ')
