Corrida 1
('N =', 20, '   tiempo transcurrido =', 0.0001556999995955266, '[seg] ', '   uso memoria total=', 6400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.0003665000003820751, '[seg] ', '   uso memoria total=', 40000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0006974999996600673, '[seg] ', '   uso memoria total=', 160000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.02505830000154674, '[seg] ', '   uso memoria total=', 640000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.018092399997840403, '[seg] ', '   uso memoria total=', 4000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.04673900000125286, '[seg] ', '   uso memoria total=', 7840000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.12374650000128895, '[seg] ', '   uso memoria total=', 16000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.7499265000005835, '[seg] ', '   uso memoria total=', 64000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 8.559528099998715, '[seg] ', '   uso memoria total=', 400000000, '[bytes] ')
Corrida 6
('N =', 1, '   tiempo transcurrido =', 0.03819909999947413, '[seg] ', '   uso memoria total=', 16, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00017379999917466193, '[seg] ', '   uso memoria total=', 400, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 7.929999992484227e-05, '[seg] ', '   uso memoria total=', 1600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00014340000052470714, '[seg] ', '   uso memoria total=', 6400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.0003789000002143439, '[seg] ', '   uso memoria total=', 40000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.000678599997627316, '[seg] ', '   uso memoria total=', 160000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0019439999996393453, '[seg] ', '   uso memoria total=', 640000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.016765299998951377, '[seg] ', '   uso memoria total=', 4000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.04851540000163368, '[seg] ', '   uso memoria total=', 7840000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.12240989999918384, '[seg] ', '   uso memoria total=', 16000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.7097121000006155, '[seg] ', '   uso memoria total=', 64000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 8.808962200000678, '[seg] ', '   uso memoria total=', 400000000, '[bytes] ')
Corrida 7
('N =', 1, '   tiempo transcurrido =', 0.03304349999962142, '[seg] ', '   uso memoria total=', 16, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00017589999697520398, '[seg] ', '   uso memoria total=', 400, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 7.639999967068434e-05, '[seg] ', '   uso memoria total=', 1600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00013779999790131114, '[seg] ', '   uso memoria total=', 6400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00036360000012791716, '[seg] ', '   uso memoria total=', 40000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0006794000000809319, '[seg] ', '   uso memoria total=', 160000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0018013000008068047, '[seg] ', '   uso memoria total=', 640000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.01813689999835333, '[seg] ', '   uso memoria total=', 4000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.046898799999326, '[seg] ', '   uso memoria total=', 7840000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.12320799999724841, '[seg] ', '   uso memoria total=', 16000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.7212500000023283, '[seg] ', '   uso memoria total=', 64000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 8.999743800002761, '[seg] ', '   uso memoria total=', 400000000, '[bytes] ')
Corrida 8
('N =', 1, '   tiempo transcurrido =', 0.037962700000207406, '[seg] ', '   uso memoria total=', 16, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00011169999925186858, '[seg] ', '   uso memoria total=', 400, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 4.769999941345304e-05, '[seg] ', '   uso memoria total=', 1600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 7.859999823267572e-05, '[seg] ', '   uso memoria total=', 6400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.0003338999995321501, '[seg] ', '   uso memoria total=', 40000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.000680500001180917, '[seg] ', '   uso memoria total=', 160000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0019130000000586733, '[seg] ', '   uso memoria total=', 640000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.018355099997279467, '[seg] ', '   uso memoria total=', 4000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.04832170000008773, '[seg] ', '   uso memoria total=', 7840000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.14079620000120485, '[seg] ', '   uso memoria total=', 16000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 1.0854471000020567, '[seg] ', '   uso memoria total=', 64000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 9.434074000000692, '[seg] ', '   uso memoria total=', 400000000, '[bytes] ')
Corrida 9
('N =', 1, '   tiempo transcurrido =', 0.03710779999892111, '[seg] ', '   uso memoria total=', 16, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00011449999874457717, '[seg] ', '   uso memoria total=', 400, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 4.650000118999742e-05, '[seg] ', '   uso memoria total=', 1600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 8.309999975608662e-05, '[seg] ', '   uso memoria total=', 6400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.0050408999995852355, '[seg] ', '   uso memoria total=', 40000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0007375999994110316, '[seg] ', '   uso memoria total=', 160000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0019609999981184956, '[seg] ', '   uso memoria total=', 640000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.026436299998749746, '[seg] ', '   uso memoria total=', 4000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.04674429999795393, '[seg] ', '   uso memoria total=', 7840000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.1307727999992494, '[seg] ', '   uso memoria total=', 16000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.9316514999991341, '[seg] ', '   uso memoria total=', 64000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 10.281441500002984, '[seg] ', '   uso memoria total=', 400000000, '[bytes] ')
Corrida 10
('N =', 1, '   tiempo transcurrido =', 0.06339289999959874, '[seg] ', '   uso memoria total=', 16, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00015379999967990443, '[seg] ', '   uso memoria total=', 400, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 0.00015040000289445743, '[seg] ', '   uso memoria total=', 1600, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00018590000036056153, '[seg] ', '   uso memoria total=', 6400, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00045760000284644775, '[seg] ', '   uso memoria total=', 40000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0008562999973946717, '[seg] ', '   uso memoria total=', 160000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.002442900000460213, '[seg] ', '   uso memoria total=', 640000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.03618559999813442, '[seg] ', '   uso memoria total=', 4000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.07960089999687625, '[seg] ', '   uso memoria total=', 7840000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.1614105999979074, '[seg] ', '   uso memoria total=', 16000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.9704574999996112, '[seg] ', '   uso memoria total=', 64000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 11.454531199997291, '[seg] ', '   uso memoria total=', 400000000, '[bytes] ')
