Corrida 1
('N =', 1, '   tiempo transcurrido =', 0.0002571000004536472, '[seg] ', '   uso memoria total=', 8, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 9.59999997576233e-05, '[seg] ', '   uso memoria total=', 200, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 6.399999983841553e-05, '[seg] ', '   uso memoria total=', 800, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.0002601000014692545, '[seg] ', '   uso memoria total=', 3200, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00042889999895123765, '[seg] ', '   uso memoria total=', 20000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0008300999979837798, '[seg] ', '   uso memoria total=', 80000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0020594000015989877, '[seg] ', '   uso memoria total=', 320000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.02643800000078045, '[seg] ', '   uso memoria total=', 2000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.04307939999853261, '[seg] ', '   uso memoria total=', 3920000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.07946809999702964, '[seg] ', '   uso memoria total=', 8000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.49876940000103787, '[seg] ', '   uso memoria total=', 32000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 4.616553700001532, '[seg] ', '   uso memoria total=', 200000000, '[bytes] ')
Corrida 2
('N =', 1, '   tiempo transcurrido =', 0.017792200000258163, '[seg] ', '   uso memoria total=', 8, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00015859999984968454, '[seg] ', '   uso memoria total=', 200, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 7.129999721655622e-05, '[seg] ', '   uso memoria total=', 800, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00013390000094659626, '[seg] ', '   uso memoria total=', 3200, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.0003015000002051238, '[seg] ', '   uso memoria total=', 20000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0005701000009139534, '[seg] ', '   uso memoria total=', 80000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0013820999993185978, '[seg] ', '   uso memoria total=', 320000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.008919600000808714, '[seg] ', '   uso memoria total=', 2000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.027605499999481253, '[seg] ', '   uso memoria total=', 3920000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.056767000001855195, '[seg] ', '   uso memoria total=', 8000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.40650710000045365, '[seg] ', '   uso memoria total=', 32000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 4.353809799998999, '[seg] ', '   uso memoria total=', 200000000, '[bytes] ')
Corrida 3
('N =', 1, '   tiempo transcurrido =', 0.017844699999841396, '[seg] ', '   uso memoria total=', 8, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00021580000247922726, '[seg] ', '   uso memoria total=', 200, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 0.00013170000238460489, '[seg] ', '   uso memoria total=', 800, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00016770000001997687, '[seg] ', '   uso memoria total=', 3200, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00035940000088885427, '[seg] ', '   uso memoria total=', 20000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0005665999997290783, '[seg] ', '   uso memoria total=', 80000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0029743000013695564, '[seg] ', '   uso memoria total=', 320000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.013582300001871772, '[seg] ', '   uso memoria total=', 2000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.024012200003198814, '[seg] ', '   uso memoria total=', 3920000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.0559837000000698, '[seg] ', '   uso memoria total=', 8000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.415254499999719, '[seg] ', '   uso memoria total=', 32000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 4.347812599997269, '[seg] ', '   uso memoria total=', 200000000, '[bytes] ')
Corrida 4
('N =', 1, '   tiempo transcurrido =', 0.019197199999325676, '[seg] ', '   uso memoria total=', 8, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00020489999951678328, '[seg] ', '   uso memoria total=', 200, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 8.870000237948261e-05, '[seg] ', '   uso memoria total=', 800, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00021380000180215575, '[seg] ', '   uso memoria total=', 3200, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.0006070000017643906, '[seg] ', '   uso memoria total=', 20000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0006268000033742283, '[seg] ', '   uso memoria total=', 80000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0025003000009746756, '[seg] ', '   uso memoria total=', 320000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.008754000002227258, '[seg] ', '   uso memoria total=', 2000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.023666100001719315, '[seg] ', '   uso memoria total=', 3920000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.060630700001638616, '[seg] ', '   uso memoria total=', 8000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.3984978999978921, '[seg] ', '   uso memoria total=', 32000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 4.4334624000002805, '[seg] ', '   uso memoria total=', 200000000, '[bytes] ')
Corrida 5
('N =', 1, '   tiempo transcurrido =', 0.024539899997762404, '[seg] ', '   uso memoria total=', 8, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00021360000027925707, '[seg] ', '   uso memoria total=', 200, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 0.00012090000018361025, '[seg] ', '   uso memoria total=', 800, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.0003868000021611806, '[seg] ', '   uso memoria total=', 3200, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.0011005999986082315, '[seg] ', '   uso memoria total=', 20000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.000838700001622783, '[seg] ', '   uso memoria total=', 80000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.002253500002552755, '[seg] ', '   uso memoria total=', 320000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.012290099999518134, '[seg] ', '   uso memoria total=', 2000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.026907700001174817, '[seg] ', '   uso memoria total=', 3920000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.10906740000064019, '[seg] ', '   uso memoria total=', 8000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.569520700002613, '[seg] ', '   uso memoria total=', 32000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 4.512384699999529, '[seg] ', '   uso memoria total=', 200000000, '[bytes] ')
Corrida 6
('N =', 1, '   tiempo transcurrido =', 0.01743279999936931, '[seg] ', '   uso memoria total=', 8, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00021070000002509914, '[seg] ', '   uso memoria total=', 200, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 8.909999814932235e-05, '[seg] ', '   uso memoria total=', 800, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00017809999917517416, '[seg] ', '   uso memoria total=', 3200, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.0003355999979248736, '[seg] ', '   uso memoria total=', 20000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0005220000020926818, '[seg] ', '   uso memoria total=', 80000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0015501999987463932, '[seg] ', '   uso memoria total=', 320000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.009055599999555852, '[seg] ', '   uso memoria total=', 2000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.030140499999106396, '[seg] ', '   uso memoria total=', 3920000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.056788699999742676, '[seg] ', '   uso memoria total=', 8000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.42129909999857773, '[seg] ', '   uso memoria total=', 32000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 4.403756300001987, '[seg] ', '   uso memoria total=', 200000000, '[bytes] ')
Corrida 7
('N =', 1, '   tiempo transcurrido =', 0.030760499997995794, '[seg] ', '   uso memoria total=', 8, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00015349999739555642, '[seg] ', '   uso memoria total=', 200, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 6.56000011076685e-05, '[seg] ', '   uso memoria total=', 800, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 0.00010349999865866266, '[seg] ', '   uso memoria total=', 3200, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.0002554000020609237, '[seg] ', '   uso memoria total=', 20000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0005764999987150077, '[seg] ', '   uso memoria total=', 80000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.002641099999891594, '[seg] ', '   uso memoria total=', 320000, '[bytes] ')
('N =', 500, '   tiempo transcurrido =', 0.010103000000526663, '[seg] ', '   uso memoria total=', 2000000, '[bytes] ')
('N =', 700, '   tiempo transcurrido =', 0.026322900001105154, '[seg] ', '   uso memoria total=', 3920000, '[bytes] ')
('N =', 1000, '   tiempo transcurrido =', 0.05851500000062515, '[seg] ', '   uso memoria total=', 8000000, '[bytes] ')
('N =', 2000, '   tiempo transcurrido =', 0.4039727000017592, '[seg] ', '   uso memoria total=', 32000000, '[bytes] ')
('N =', 5000, '   tiempo transcurrido =', 4.716419500000484, '[seg] ', '   uso memoria total=', 200000000, '[bytes] ')
Corrida 8
('N =', 1, '   tiempo transcurrido =', 0.018996999999217223, '[seg] ', '   uso memoria total=', 8, '[bytes] ')
('N =', 5, '   tiempo transcurrido =', 0.00012649999916902743, '[seg] ', '   uso memoria total=', 200, '[bytes] ')
('N =', 10, '   tiempo transcurrido =', 4.7900000936351717e-05, '[seg] ', '   uso memoria total=', 800, '[bytes] ')
('N =', 20, '   tiempo transcurrido =', 9.309999950346537e-05, '[seg] ', '   uso memoria total=', 3200, '[bytes] ')
('N =', 50, '   tiempo transcurrido =', 0.00028750000274158083, '[seg] ', '   uso memoria total=', 20000, '[bytes] ')
('N =', 100, '   tiempo transcurrido =', 0.0006045999980415218, '[seg] ', '   uso memoria total=', 80000, '[bytes] ')
('N =', 200, '   tiempo transcurrido =', 0.0013447000019368716, '[seg] ', '   uso memoria total=', 320000, '[bytes] ')
